Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
klei,0,2036,27,93,2036-04-09,2036-09-01,Nee,64.0
klei,1,2036,27,93,2036-04-09,2036-09-01,Nee,64.0
klei,2,2036,26,42,2036-04-21,2036-08-20,Nee,66.62
klei,3,2036,36,133,2036-04-21,2036-10-19,Nee,36.0
klei,4,2036,24,102,2036-04-06,2036-10-07,Nee,71.56
klei,5,2036,28,96,2036-04-18,2036-09-03,Nee,61.28
klei,6,2036,48,84,2036-04-30,2036-08-15,Ja,0.0
klei,7,2036,34,98,2036-04-18,2036-09-05,Nee,42.91
klei,0,2037,27,80,2037-04-23,2037-09-18,Nee,64.0
klei,1,2037,27,80,2037-04-23,2037-09-18,Nee,64.0
klei,2,2037,21,73,2037-04-15,2037-10-02,Nee,78.22
klei,3,2037,31,100,2037-04-10,2037-09-21,Nee,52.54
klei,4,2037,43,90,2037-04-25,2037-09-21,Nee,8.69
klei,5,2037,16,114,2037-04-24,2037-10-07,Nee,87.36
klei,6,2037,24,102,2037-04-15,2037-09-15,Nee,71.56
klei,7,2037,31,60,2037-05-03,2037-10-06,Nee,52.54
klei,0,2038,25,71,2038-05-04,2038-10-10,Nee,69.14
klei,1,2038,25,71,2038-05-04,2038-10-10,Nee,69.14
klei,2,2038,25,86,2038-04-17,2038-09-14,Nee,69.14
klei,3,2038,29,88,2038-04-26,2038-09-24,Nee,58.47
klei,4,2038,13,76,2038-04-24,2038-09-06,Nee,91.65
klei,5,2038,20,87,2038-05-03,2038-10-02,Nee,80.25
klei,6,2038,20,77,2038-05-01,2038-10-12,Nee,80.25
klei,7,2038,19,77,2038-04-21,2038-09-06,Nee,82.17
klei,0,2039,40,106,2039-04-24,2039-09-30,Nee,20.99
klei,1,2039,40,106,2039-04-24,2039-09-30,Nee,20.99
klei,2,2039,28,90,2039-05-01,2039-09-29,Nee,61.28
klei,3,2039,35,84,2039-03-30,2039-08-27,Nee,39.51
klei,4,2039,14,43,2039-04-24,2039-09-21,Nee,90.32
klei,5,2039,52,93,2039-04-23,2039-09-13,Ja,0.0
klei,6,2039,31,110,2039-04-26,2039-09-28,Nee,52.54
klei,7,2039,30,102,2039-04-29,2039-09-23,Nee,55.56
klei,0,2040,23,60,2040-04-28,2040-10-18,Nee,73.88
klei,1,2040,23,60,2040-04-28,2040-10-18,Nee,73.88
klei,2,2040,26,69,2040-04-10,2040-09-20,Nee,66.62
klei,3,2040,68,119,2040-04-12,2040-10-07,Ja,0.0
klei,4,2040,18,84,2040-04-16,2040-10-07,Nee,84.0
klei,5,2040,22,70,2040-04-14,2040-08-10,Nee,76.1
klei,6,2040,38,118,2040-03-30,2040-09-10,Nee,28.69
klei,7,2040,7,29,2040-04-29,2040-10-15,Nee,97.58
klei,0,2041,32,83,2041-05-02,2041-09-18,Nee,49.43
klei,1,2041,32,83,2041-05-02,2041-09-18,Nee,49.43
klei,2,2041,26,101,2041-04-19,2041-09-22,Nee,66.62
klei,3,2041,23,78,2041-04-15,2041-09-12,Nee,73.88
klei,4,2041,21,92,2041-04-10,2041-09-25,Nee,78.22
klei,5,2041,30,90,2041-04-12,2041-10-31,Nee,55.56
klei,6,2041,46,98,2041-04-29,2041-10-02,Ja,0.0
klei,7,2041,33,83,2041-04-28,2041-09-29,Nee,46.22
klei,0,2042,37,137,2042-04-15,2042-10-18,Nee,32.4
klei,1,2042,37,137,2042-04-15,2042-10-18,Nee,32.4
klei,2,2042,48,94,2042-04-16,2042-09-27,Ja,0.0
klei,3,2042,31,133,2042-04-21,2042-10-29,Nee,52.54
klei,4,2042,30,104,2042-04-19,2042-10-22,Nee,55.56
klei,5,2042,23,82,2042-04-09,2042-09-12,Nee,73.88
klei,6,2042,36,78,2042-04-23,2042-09-29,Nee,36.0
klei,7,2042,21,72,2042-04-29,2042-08-30,Nee,78.22
klei,0,2043,21,70,2043-04-19,2043-09-19,Nee,78.22
klei,1,2043,21,70,2043-04-19,2043-09-19,Nee,78.22
klei,2,2043,30,73,2043-05-10,2043-10-22,Nee,55.56
klei,3,2043,21,69,2043-04-25,2043-09-08,Nee,78.22
klei,4,2043,16,74,2043-04-28,2043-09-26,Nee,87.36
klei,5,2043,33,107,2043-04-22,2043-10-06,Nee,46.22
klei,6,2043,27,79,2043-05-01,2043-09-23,Nee,64.0
klei,7,2043,41,114,2043-04-16,2043-09-19,Nee,16.99
klei,0,2044,19,50,2044-05-03,2044-08-18,Nee,82.17
klei,1,2044,19,50,2044-05-03,2044-08-18,Nee,82.17
klei,2,2044,63,91,2044-05-19,2044-09-14,Ja,0.0
klei,3,2044,17,60,2044-04-13,2044-08-10,Nee,85.73
klei,4,2044,27,109,2044-04-15,2044-10-22,Nee,64.0
klei,5,2044,27,79,2044-04-16,2044-09-23,Nee,64.0
klei,6,2044,20,107,2044-04-17,2044-09-06,Nee,80.25
klei,7,2044,28,107,2044-04-27,2044-10-12,Nee,61.28
