Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
klei,0,2036,27,101,2036-04-02,2036-09-03,Nee,64.0
klei,1,2036,27,101,2036-04-02,2036-09-03,Nee,64.0
klei,2,2036,31,57,2036-04-08,2036-10-19,Nee,52.54
klei,3,2036,47,157,2036-03-03,2036-10-20,Ja,0.0
klei,4,2036,33,128,2036-03-28,2036-11-07,Nee,46.22
klei,5,2036,28,116,2036-04-14,2036-10-09,Nee,61.28
klei,6,2036,48,90,2036-04-29,2036-10-14,Ja,0.0
klei,7,2036,34,112,2036-03-26,2036-09-05,Nee,42.91
klei,0,2037,27,112,2037-03-21,2037-10-28,Nee,64.0
klei,1,2037,27,112,2037-03-21,2037-10-28,Nee,64.0
klei,2,2037,27,87,2037-04-09,2037-10-03,Nee,64.0
klei,3,2037,41,112,2037-03-31,2037-09-21,Nee,16.99
klei,4,2037,43,109,2037-04-03,2037-10-07,Nee,8.69
klei,5,2037,36,124,2037-04-09,2037-10-09,Nee,36.0
klei,6,2037,28,109,2037-04-11,2037-10-08,Nee,61.28
klei,7,2037,33,87,2037-04-05,2037-11-24,Nee,46.22
klei,0,2038,25,87,2038-04-23,2038-10-11,Nee,69.14
klei,1,2038,25,87,2038-04-23,2038-10-11,Nee,69.14
klei,2,2038,26,99,2038-04-03,2038-09-22,Nee,66.62
klei,3,2038,29,102,2038-04-22,2038-09-24,Nee,58.47
klei,4,2038,13,91,2038-03-23,2038-09-07,Nee,91.65
klei,5,2038,21,122,2038-05-02,2038-11-21,Nee,78.22
klei,6,2038,20,91,2038-03-08,2038-10-12,Nee,80.25
klei,7,2038,21,96,2038-04-16,2038-11-01,Nee,78.22
klei,0,2039,40,156,2039-03-24,2039-12-04,Nee,20.99
klei,1,2039,40,156,2039-03-24,2039-12-04,Nee,20.99
klei,2,2039,28,104,2039-04-15,2039-09-29,Nee,61.28
klei,3,2039,36,105,2039-03-17,2039-10-20,Nee,36.0
klei,4,2039,13,53,2039-04-07,2039-09-21,Nee,91.65
klei,5,2039,52,143,2039-03-13,2039-12-29,Ja,0.0
klei,6,2039,33,146,2039-04-25,2039-11-12,Nee,46.22
klei,7,2039,53,116,2039-04-12,2039-10-17,Ja,0.0
klei,0,2040,31,90,2040-04-26,2040-11-02,Nee,52.54
klei,1,2040,31,90,2040-04-26,2040-11-02,Nee,52.54
klei,2,2040,26,89,2040-03-21,2040-09-21,Nee,66.62
klei,3,2040,70,137,2040-04-07,2040-11-14,Ja,0.0
klei,4,2040,21,109,2040-03-21,2040-10-12,Nee,78.22
klei,5,2040,23,111,2040-04-07,2040-11-09,Nee,73.88
klei,6,2040,38,136,2040-03-16,2040-09-10,Nee,28.69
klei,7,2040,19,55,2040-04-27,2040-11-21,Nee,82.17
klei,0,2041,32,91,2041-04-17,2041-09-18,Nee,49.43
klei,1,2041,32,91,2041-04-17,2041-09-18,Nee,49.43
klei,2,2041,26,117,2041-03-27,2041-09-22,Nee,66.62
klei,3,2041,23,88,2041-04-11,2041-09-16,Nee,73.88
klei,4,2041,21,114,2041-03-20,2041-09-25,Nee,78.22
klei,5,2041,54,116,2041-03-29,2041-11-07,Ja,0.0
klei,6,2041,47,113,2041-04-16,2041-11-06,Ja,0.0
klei,7,2041,33,96,2041-04-18,2041-11-06,Nee,46.22
klei,0,2042,37,153,2042-04-09,2042-10-19,Nee,32.4
klei,1,2042,37,153,2042-04-09,2042-10-19,Nee,32.4
klei,2,2042,48,111,2042-04-06,2042-10-10,Ja,0.0
klei,3,2042,35,149,2042-04-12,2042-10-29,Nee,39.51
klei,4,2042,32,119,2042-04-17,2042-10-24,Nee,49.43
klei,5,2042,23,93,2042-03-31,2042-10-25,Nee,73.88
klei,6,2042,36,87,2042-04-20,2042-11-02,Nee,36.0
klei,7,2042,21,86,2042-04-27,2042-10-03,Nee,78.22
klei,0,2043,22,108,2043-04-11,2043-11-06,Nee,76.1
klei,1,2043,22,108,2043-04-11,2043-11-06,Nee,76.1
klei,2,2043,69,111,2043-05-08,2043-11-15,Ja,0.0
klei,3,2043,22,97,2043-03-27,2043-10-18,Nee,76.1
klei,4,2043,16,90,2043-04-21,2043-09-27,Nee,87.36
klei,5,2043,36,120,2043-03-27,2043-10-06,Nee,36.0
klei,6,2043,27,99,2043-03-10,2043-11-07,Nee,64.0
klei,7,2043,41,131,2043-04-09,2043-10-30,Nee,16.99
klei,0,2044,19,59,2044-04-17,2044-11-29,Nee,82.17
klei,1,2044,19,59,2044-04-17,2044-11-29,Nee,82.17
klei,2,2044,64,114,2044-04-19,2044-10-18,Ja,0.0
klei,3,2044,16,82,2044-04-06,2044-10-13,Nee,87.36
klei,4,2044,27,146,2044-03-25,2044-11-13,Nee,64.0
klei,5,2044,27,91,2044-04-12,2044-09-23,Nee,64.0
klei,6,2044,20,114,2044-03-27,2044-09-06,Nee,80.25
klei,7,2044,31,116,2044-04-25,2044-10-15,Nee,52.54
klei,0,2045,13,61,2045-05-18,2045-10-16,Nee,91.65
klei,1,2045,13,61,2045-05-18,2045-10-16,Nee,91.65
klei,2,2045,14,59,2045-04-06,2045-08-06,Nee,90.32
klei,3,2045,26,100,2045-04-10,2045-10-30,Nee,66.62
klei,4,2045,60,156,2045-04-05,2045-11-05,Ja,0.0
klei,5,2045,24,96,2045-04-29,2045-11-18,Nee,71.56
klei,6,2045,34,72,2045-04-04,2045-09-17,Nee,42.91
klei,7,2045,31,120,2045-03-25,2045-09-28,Nee,52.54
klei,0,2046,21,95,2046-04-27,2046-10-06,Nee,78.22
klei,1,2046,21,95,2046-04-27,2046-10-06,Nee,78.22
klei,2,2046,44,96,2046-04-02,2046-10-22,Nee,4.4
klei,3,2046,49,105,2046-04-26,2046-10-13,Ja,0.0
klei,4,2046,41,154,2046-03-13,2046-11-14,Nee,16.99
klei,5,2046,22,124,2046-03-08,2046-11-02,Nee,76.1
klei,6,2046,27,100,2046-03-26,2046-11-26,Nee,64.0
klei,7,2046,40,115,2046-04-27,2046-11-24,Nee,20.99
klei,0,2047,97,178,2047-03-31,2047-11-10,Ja,0.0
klei,1,2047,97,178,2047-03-31,2047-11-10,Ja,0.0
klei,2,2047,32,126,2047-04-01,2047-09-10,Nee,49.43
klei,3,2047,47,134,2047-03-26,2047-10-08,Ja,0.0
klei,4,2047,23,98,2047-05-22,2047-10-30,Nee,73.88
klei,5,2047,19,63,2047-03-30,2047-09-20,Nee,82.17
klei,6,2047,41,111,2047-04-11,2047-10-21,Nee,16.99
klei,7,2047,16,67,2047-03-27,2047-09-23,Nee,87.36
klei,0,2048,37,99,2048-04-12,2048-09-26,Nee,32.4
klei,1,2048,37,99,2048-04-12,2048-09-26,Nee,32.4
klei,2,2048,41,114,2048-04-16,2048-10-30,Nee,16.99
klei,3,2048,33,104,2048-04-04,2048-09-16,Nee,46.22
klei,4,2048,37,99,2048-03-16,2048-11-05,Nee,32.4
klei,5,2048,42,114,2048-03-18,2048-10-22,Nee,12.89
klei,6,2048,39,98,2048-04-11,2048-09-18,Nee,24.89
klei,7,2048,39,115,2048-04-02,2048-10-02,Nee,24.89
klei,0,2049,19,96,2049-04-04,2049-10-11,Nee,82.17
klei,1,2049,19,96,2049-04-04,2049-10-11,Nee,82.17
klei,2,2049,42,136,2049-03-25,2049-10-10,Nee,12.89
klei,3,2049,33,135,2049-03-14,2049-09-15,Nee,46.22
klei,4,2049,45,116,2049-04-07,2049-11-29,Nee,0.0
klei,5,2049,32,128,2049-04-12,2049-11-29,Nee,49.43
klei,6,2049,45,92,2049-05-12,2049-09-26,Nee,0.0
klei,7,2049,38,148,2049-04-09,2049-10-06,Nee,28.69
klei,0,2050,32,107,2050-04-19,2050-10-25,Nee,49.43
klei,1,2050,32,107,2050-04-19,2050-10-25,Nee,49.43
klei,2,2050,57,162,2050-03-25,2050-11-19,Ja,0.0
klei,3,2050,19,58,2050-04-30,2050-09-12,Nee,82.17
klei,4,2050,29,104,2050-04-01,2050-11-19,Nee,58.47
klei,5,2050,22,85,2050-04-25,2050-11-06,Nee,76.1
klei,6,2050,78,189,2050-03-22,2050-11-11,Ja,0.0
klei,7,2050,17,71,2050-04-25,2050-10-08,Nee,85.73
klei,0,2051,23,90,2051-04-21,2051-10-05,Nee,73.88
klei,1,2051,23,90,2051-04-21,2051-10-05,Nee,73.88
klei,2,2051,21,77,2051-04-22,2051-11-03,Nee,78.22
klei,3,2051,51,111,2051-04-03,2051-09-29,Ja,0.0
klei,4,2051,24,116,2051-03-30,2051-10-22,Nee,71.56
klei,5,2051,30,118,2051-03-28,2051-11-10,Nee,55.56
klei,6,2051,27,95,2051-04-27,2051-09-30,Nee,64.0
klei,7,2051,18,94,2051-04-01,2051-10-27,Nee,84.0
klei,0,2052,26,97,2052-03-31,2052-09-20,Nee,66.62
klei,1,2052,26,97,2052-03-31,2052-09-20,Nee,66.62
klei,2,2052,24,142,2052-03-15,2052-11-04,Nee,71.56
klei,3,2052,26,93,2052-04-26,2052-10-06,Nee,66.62
klei,4,2052,28,99,2052-04-18,2052-11-14,Nee,61.28
klei,5,2052,22,82,2052-03-23,2052-10-21,Nee,76.1
klei,6,2052,58,149,2052-03-22,2052-12-01,Ja,0.0
klei,7,2052,22,82,2052-03-23,2052-10-21,Nee,76.1
klei,0,2053,19,108,2053-04-13,2053-11-13,Nee,82.17
klei,1,2053,19,108,2053-04-13,2053-11-13,Nee,82.17
klei,2,2053,40,126,2053-04-22,2053-10-07,Nee,20.99
klei,3,2053,38,105,2053-04-15,2053-10-19,Nee,28.69
klei,4,2053,33,151,2053-03-29,2053-12-03,Nee,46.22
klei,5,2053,24,106,2053-03-31,2053-10-08,Nee,71.56
klei,6,2053,22,115,2053-04-25,2053-10-26,Nee,76.1
klei,7,2053,24,106,2053-03-31,2053-10-08,Nee,71.56
klei,0,2054,13,40,2054-04-23,2054-09-03,Nee,91.65
klei,1,2054,13,40,2054-04-23,2054-09-03,Nee,91.65
klei,2,2054,35,72,2054-03-20,2054-09-23,Nee,39.51
klei,3,2054,44,102,2054-03-23,2054-10-25,Nee,4.4
klei,4,2054,35,99,2054-03-28,2054-10-17,Nee,39.51
klei,5,2054,30,104,2054-04-08,2054-10-01,Nee,55.56
klei,6,2054,26,102,2054-04-11,2054-10-27,Nee,66.62
klei,7,2054,26,102,2054-04-11,2054-10-27,Nee,66.62
klei,0,2055,36,148,2055-04-17,2055-10-25,Nee,36.0
klei,1,2055,36,148,2055-04-17,2055-10-25,Nee,36.0
klei,2,2055,54,154,2055-04-09,2055-10-14,Ja,0.0
klei,3,2055,60,140,2055-03-21,2055-10-08,Ja,0.0
klei,4,2055,30,84,2055-04-18,2055-10-28,Nee,55.56
klei,5,2055,10,34,2055-04-19,2055-11-06,Nee,95.06
klei,6,2055,20,110,2055-04-17,2055-10-28,Nee,80.25
klei,7,2055,20,110,2055-04-17,2055-10-28,Nee,80.25
klei,0,2056,19,141,2056-03-29,2056-11-03,Nee,82.17
klei,1,2056,19,141,2056-03-29,2056-11-03,Nee,82.17
klei,2,2056,64,147,2056-03-20,2056-10-04,Ja,0.0
klei,3,2056,36,134,2056-03-25,2056-10-21,Nee,36.0
