Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
zand,0,2036,27,98,2036-04-08,2036-09-01,Nee,64.0
zand,1,2036,27,98,2036-04-08,2036-09-01,Nee,64.0
zand,2,2036,25,47,2036-04-18,2036-08-20,Nee,69.14
zand,3,2036,37,136,2036-04-20,2036-10-18,Nee,32.4
zand,4,2036,21,114,2036-04-04,2036-10-07,Nee,78.22
zand,5,2036,21,100,2036-04-17,2036-09-03,Nee,78.22
zand,6,2036,48,85,2036-04-30,2036-08-15,Ja,0.0
zand,7,2036,34,98,2036-04-18,2036-09-05,Nee,42.91
zand,0,2037,28,89,2037-04-21,2037-09-17,Nee,61.28
zand,1,2037,28,89,2037-04-21,2037-09-17,Nee,61.28
zand,2,2037,24,81,2037-04-11,2037-10-02,Nee,71.56
zand,3,2037,31,105,2037-04-09,2037-09-21,Nee,52.54
zand,4,2037,43,97,2037-04-24,2037-09-21,Nee,8.69
zand,5,2037,16,117,2037-04-23,2037-10-07,Nee,87.36
zand,6,2037,25,103,2037-04-14,2037-09-15,Nee,69.14
zand,7,2037,31,69,2037-05-02,2037-10-06,Nee,52.54
zand,0,2038,26,79,2038-04-24,2038-10-10,Nee,66.62
zand,1,2038,26,79,2038-04-24,2038-10-10,Nee,66.62
zand,2,2038,25,90,2038-04-16,2038-09-14,Nee,69.14
zand,3,2038,29,100,2038-04-24,2038-09-24,Nee,58.47
zand,4,2038,14,83,2038-04-13,2038-09-06,Nee,90.32
zand,5,2038,22,96,2038-05-02,2038-10-02,Nee,76.1
zand,6,2038,20,86,2038-04-30,2038-10-12,Nee,80.25
zand,7,2038,21,83,2038-04-21,2038-09-06,Nee,78.22
zand,0,2039,22,109,2039-04-22,2039-09-30,Nee,76.1
zand,1,2039,22,109,2039-04-22,2039-09-30,Nee,76.1
zand,2,2039,29,97,2039-04-19,2039-09-29,Nee,58.47
zand,3,2039,35,89,2039-03-28,2039-08-27,Nee,39.51
zand,4,2039,15,48,2039-04-23,2039-09-21,Nee,88.89
zand,5,2039,52,96,2039-04-22,2039-09-13,Ja,0.0
zand,6,2039,32,117,2039-04-25,2039-10-31,Nee,49.43
zand,7,2039,30,106,2039-04-28,2039-09-23,Nee,55.56
zand,0,2040,23,80,2040-04-26,2040-10-18,Nee,73.88
zand,1,2040,23,80,2040-04-26,2040-10-18,Nee,73.88
zand,2,2040,27,80,2040-04-08,2040-09-20,Nee,64.0
zand,3,2040,69,120,2040-04-11,2040-10-07,Ja,0.0
zand,4,2040,19,93,2040-04-15,2040-10-07,Nee,82.17
zand,5,2040,22,79,2040-04-14,2040-08-28,Nee,76.1
zand,6,2040,37,123,2040-03-28,2040-09-10,Nee,32.4
zand,7,2040,8,40,2040-04-28,2040-10-15,Nee,96.84
zand,0,2041,31,86,2041-05-01,2041-09-18,Nee,52.54
zand,1,2041,31,86,2041-05-01,2041-09-18,Nee,52.54
zand,2,2041,26,106,2041-03-30,2041-09-22,Nee,66.62
zand,3,2041,26,85,2041-04-14,2041-09-12,Nee,66.62
zand,4,2041,22,98,2041-04-09,2041-09-25,Nee,76.1
zand,5,2041,30,96,2041-04-11,2041-10-31,Nee,55.56
zand,6,2041,47,107,2041-04-18,2041-10-02,Ja,0.0
zand,7,2041,34,90,2041-04-27,2041-09-29,Nee,42.91
zand,0,2042,37,142,2042-04-15,2042-10-18,Nee,32.4
zand,1,2042,37,142,2042-04-15,2042-10-18,Nee,32.4
zand,2,2042,48,98,2042-04-16,2042-09-27,Ja,0.0
zand,3,2042,33,140,2042-04-19,2042-10-29,Nee,46.22
zand,4,2042,32,111,2042-04-18,2042-10-22,Nee,49.43
zand,5,2042,24,87,2042-04-08,2042-09-12,Nee,71.56
zand,6,2042,36,86,2042-04-22,2042-09-29,Nee,36.0
zand,7,2042,22,76,2042-04-28,2042-08-30,Nee,76.1
