Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
zand,0,2036,27,109,2036-04-01,2036-09-26,Nee,64.0
zand,1,2036,27,109,2036-04-01,2036-09-26,Nee,64.0
zand,2,2036,31,63,2036-04-07,2036-10-19,Nee,52.54
zand,3,2036,40,159,2036-03-01,2036-10-19,Nee,20.99
zand,4,2036,40,140,2036-03-29,2036-11-07,Nee,20.99
zand,5,2036,25,118,2036-04-04,2036-10-09,Nee,69.14
zand,6,2036,48,93,2036-04-28,2036-10-14,Ja,0.0
zand,7,2036,34,112,2036-03-26,2036-09-05,Nee,42.91
zand,0,2037,28,127,2037-03-20,2037-10-28,Nee,61.28
zand,1,2037,28,127,2037-03-20,2037-10-28,Nee,61.28
zand,2,2037,28,97,2037-04-08,2037-10-03,Nee,61.28
zand,3,2037,41,116,2037-03-30,2037-09-21,Nee,16.99
zand,4,2037,43,122,2037-04-01,2037-10-07,Nee,8.69
zand,5,2037,18,127,2037-04-06,2037-10-07,Nee,84.0
zand,6,2037,25,111,2037-04-10,2037-10-08,Nee,69.14
zand,7,2037,34,97,2037-04-04,2037-11-24,Nee,42.91
zand,0,2038,25,93,2038-04-11,2038-10-11,Nee,69.14
zand,1,2038,25,93,2038-04-11,2038-10-11,Nee,69.14
zand,2,2038,26,107,2038-03-31,2038-10-11,Nee,66.62
zand,3,2038,29,110,2038-03-19,2038-09-24,Nee,58.47
zand,4,2038,14,95,2038-03-23,2038-09-07,Nee,90.32
zand,5,2038,22,130,2038-04-25,2038-11-21,Nee,76.1
zand,6,2038,20,101,2038-03-07,2038-10-29,Nee,80.25
zand,7,2038,21,99,2038-04-16,2038-11-01,Nee,78.22
zand,0,2039,31,161,2039-03-22,2039-12-04,Nee,52.54
zand,1,2039,31,161,2039-03-22,2039-12-04,Nee,52.54
zand,2,2039,29,113,2039-04-14,2039-10-30,Nee,58.47
zand,3,2039,36,111,2039-03-16,2039-11-17,Nee,36.0
zand,4,2039,15,61,2039-04-07,2039-09-21,Nee,88.89
zand,5,2039,52,154,2039-03-12,2039-12-29,Ja,0.0
zand,6,2039,33,153,2039-03-19,2039-11-12,Nee,46.22
zand,7,2039,30,120,2039-04-12,2039-10-17,Nee,55.56
zand,0,2040,23,97,2040-04-26,2040-11-02,Nee,73.88
zand,1,2040,23,97,2040-04-26,2040-11-02,Nee,73.88
zand,2,2040,27,103,2040-03-19,2040-09-21,Nee,64.0
zand,3,2040,70,139,2040-03-20,2040-11-14,Ja,0.0
zand,4,2040,22,116,2040-03-20,2040-10-12,Nee,76.1
zand,5,2040,23,119,2040-03-15,2040-11-09,Nee,73.88
zand,6,2040,38,142,2040-03-15,2040-09-17,Nee,28.69
zand,7,2040,20,70,2040-04-20,2040-11-22,Nee,80.25
zand,0,2041,31,95,2041-04-16,2041-09-18,Nee,52.54
zand,1,2041,31,95,2041-04-16,2041-09-18,Nee,52.54
zand,2,2041,26,122,2041-03-26,2041-09-22,Nee,66.62
zand,3,2041,26,95,2041-03-28,2041-09-16,Nee,66.62
zand,4,2041,21,120,2041-03-19,2041-09-25,Nee,78.22
zand,5,2041,39,129,2041-03-23,2041-11-07,Nee,24.89
zand,6,2041,47,122,2041-04-15,2041-11-06,Ja,0.0
zand,7,2041,34,104,2041-03-30,2041-11-06,Nee,42.91
zand,0,2042,38,157,2042-03-24,2042-10-19,Nee,28.69
zand,1,2042,38,157,2042-03-24,2042-10-19,Nee,28.69
zand,2,2042,48,119,2042-03-21,2042-10-10,Ja,0.0
zand,3,2042,36,152,2042-04-12,2042-10-29,Nee,36.0
zand,4,2042,34,122,2042-04-15,2042-10-23,Nee,42.91
zand,5,2042,24,101,2042-03-30,2042-10-25,Nee,71.56
zand,6,2042,36,95,2042-04-19,2042-11-04,Nee,36.0
zand,7,2042,22,91,2042-04-26,2042-10-03,Nee,76.1
zand,0,2043,22,114,2043-04-11,2043-11-06,Nee,76.1
zand,1,2043,22,114,2043-04-11,2043-11-06,Nee,76.1
zand,2,2043,34,117,2043-05-08,2043-11-15,Nee,42.91
zand,3,2043,23,109,2043-03-25,2043-10-18,Nee,73.88
zand,4,2043,16,98,2043-03-06,2043-10-14,Nee,87.36
zand,5,2043,27,125,2043-03-26,2043-11-09,Nee,64.0
zand,6,2043,27,109,2043-03-04,2043-11-07,Nee,64.0
zand,7,2043,41,136,2043-04-08,2043-10-30,Nee,16.99
zand,0,2044,19,64,2044-04-16,2044-10-13,Nee,82.17
zand,1,2044,19,64,2044-04-16,2044-10-13,Nee,82.17
zand,2,2044,64,121,2044-04-18,2044-10-18,Ja,0.0
zand,3,2044,18,91,2044-04-05,2044-10-13,Nee,84.0
zand,4,2044,27,153,2044-03-24,2044-11-12,Nee,64.0
zand,5,2044,27,98,2044-04-10,2044-10-09,Nee,64.0
zand,6,2044,20,118,2044-03-26,2044-09-06,Nee,80.25
zand,7,2044,32,121,2044-04-15,2044-10-12,Nee,49.43
zand,0,2045,15,71,2045-04-26,2045-10-16,Nee,88.89
zand,1,2045,15,71,2045-04-26,2045-10-16,Nee,88.89
zand,2,2045,12,62,2045-04-06,2045-10-13,Nee,92.89
zand,3,2045,26,104,2045-04-09,2045-10-30,Nee,66.62
zand,4,2045,50,160,2045-04-03,2045-11-05,Ja,0.0
zand,5,2045,24,104,2045-04-16,2045-11-18,Nee,71.56
zand,6,2045,34,82,2045-03-26,2045-09-17,Nee,42.91
zand,7,2045,32,126,2045-03-25,2045-09-28,Nee,49.43
zand,0,2046,20,99,2046-04-27,2046-10-15,Nee,80.25
zand,1,2046,20,99,2046-04-27,2046-10-15,Nee,80.25
