Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
klei,0,2036,29,83,2036-04-27,2036-09-09,Nee,58.47
klei,1,2036,29,83,2036-04-27,2036-09-09,Nee,58.47
klei,2,2036,48,125,2036-04-14,2036-09-19,Ja,0.0
klei,3,2036,31,98,2036-05-01,2036-10-19,Nee,52.54
klei,4,2036,22,56,2036-04-28,2036-08-11,Nee,76.1
klei,5,2036,17,51,2036-04-13,2036-08-06,Nee,85.73
klei,6,2036,34,110,2036-04-02,2036-09-07,Nee,42.91
klei,7,2036,30,97,2036-05-13,2036-10-05,Nee,55.56
klei,0,2037,29,47,2037-05-22,2037-08-16,Nee,58.47
klei,1,2037,29,47,2037-05-22,2037-08-16,Nee,58.47
klei,2,2037,26,71,2037-04-26,2037-10-11,Nee,66.62
klei,3,2037,19,83,2037-04-11,2037-08-29,Nee,82.17
klei,4,2037,22,93,2037-05-02,2037-10-22,Nee,76.1
klei,5,2037,34,125,2037-04-04,2037-10-12,Nee,42.91
klei,6,2037,15,78,2037-04-13,2037-09-11,Nee,88.89
klei,7,2037,54,136,2037-04-20,2037-10-10,Ja,0.0
klei,0,2038,26,104,2038-05-19,2038-09-24,Nee,66.62
klei,1,2038,26,104,2038-05-19,2038-09-24,Nee,66.62
klei,2,2038,23,64,2038-04-16,2038-09-25,Nee,73.88
klei,3,2038,19,62,2038-04-24,2038-09-15,Nee,82.17
klei,4,2038,26,85,2038-04-04,2038-09-10,Nee,66.62
klei,5,2038,12,19,2038-04-26,2038-08-11,Nee,92.89
klei,6,2038,11,68,2038-04-18,2038-10-04,Nee,94.02
klei,7,2038,41,139,2038-03-28,2038-09-24,Nee,16.99
klei,0,2039,45,109,2039-04-25,2039-09-20,Nee,0.0
klei,1,2039,45,109,2039-04-25,2039-09-20,Nee,0.0
klei,2,2039,45,121,2039-04-19,2039-09-25,Nee,0.0
klei,3,2039,14,69,2039-04-19,2039-10-03,Nee,90.32
klei,4,2039,36,101,2039-04-29,2039-09-21,Nee,36.0
klei,5,2039,67,116,2039-05-02,2039-09-23,Ja,0.0
klei,6,2039,18,83,2039-05-15,2039-09-27,Nee,84.0
klei,7,2039,21,95,2039-04-21,2039-10-13,Nee,78.22
klei,0,2040,51,91,2040-04-17,2040-08-26,Ja,0.0
klei,1,2040,51,91,2040-04-17,2040-08-26,Ja,0.0
klei,2,2040,16,80,2040-04-15,2040-09-10,Nee,87.36
klei,3,2040,22,82,2040-04-20,2040-09-07,Nee,76.1
klei,4,2040,60,133,2040-04-23,2040-09-29,Ja,0.0
klei,5,2040,18,76,2040-04-22,2040-09-28,Nee,84.0
klei,6,2040,60,133,2040-04-23,2040-09-29,Ja,0.0
klei,7,2040,15,48,2040-04-22,2040-10-14,Nee,88.89
klei,0,2041,17,74,2041-04-23,2041-09-18,Nee,85.73
klei,1,2041,17,74,2041-04-23,2041-09-18,Nee,85.73
klei,2,2041,18,49,2041-05-12,2041-08-28,Nee,84.0
klei,3,2041,29,89,2041-04-27,2041-09-26,Nee,58.47
klei,4,2041,27,77,2041-05-13,2041-09-18,Nee,64.0
klei,5,2041,33,91,2041-04-06,2041-09-05,Nee,46.22
klei,6,2041,21,78,2041-05-03,2041-10-19,Nee,78.22
klei,7,2041,47,101,2041-04-15,2041-09-22,Ja,0.0
klei,0,2042,11,45,2042-04-19,2042-09-25,Nee,94.02
klei,1,2042,11,45,2042-04-19,2042-09-25,Nee,94.02
klei,2,2042,28,89,2042-04-16,2042-09-23,Nee,61.28
klei,3,2042,46,95,2042-04-13,2042-08-19,Ja,0.0
klei,4,2042,21,74,2042-04-20,2042-10-14,Nee,78.22
klei,5,2042,19,95,2042-04-19,2042-10-28,Nee,82.17
klei,6,2042,33,89,2042-05-08,2042-09-05,Nee,46.22
klei,7,2042,42,86,2042-04-24,2042-10-10,Nee,12.89
klei,0,2043,25,100,2043-04-14,2043-09-28,Nee,69.14
klei,1,2043,25,100,2043-04-14,2043-09-28,Nee,69.14
klei,2,2043,51,106,2043-04-16,2043-10-10,Ja,0.0
klei,3,2043,11,55,2043-05-05,2043-10-11,Nee,94.02
klei,4,2043,47,94,2043-04-18,2043-08-26,Ja,0.0
klei,5,2043,18,87,2043-05-09,2043-09-12,Nee,84.0
klei,6,2043,39,110,2043-04-09,2043-10-05,Nee,24.89
klei,7,2043,33,86,2043-04-27,2043-09-19,Nee,46.22
klei,0,2044,43,101,2044-04-20,2044-09-28,Nee,8.69
klei,1,2044,43,101,2044-04-20,2044-09-28,Nee,8.69
klei,2,2044,25,87,2044-05-04,2044-09-17,Nee,69.14
