Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
klei,0,2036,29,92,2036-04-09,2036-09-09,Nee,58.47
klei,1,2036,29,92,2036-04-09,2036-09-09,Nee,58.47
klei,2,2036,50,156,2036-03-08,2036-11-13,Ja,0.0
klei,3,2036,31,109,2036-03-19,2036-10-19,Nee,52.54
klei,4,2036,22,80,2036-03-31,2036-11-15,Nee,76.1
klei,5,2036,17,65,2036-04-07,2036-10-20,Nee,85.73
klei,6,2036,56,139,2036-03-12,2036-11-14,Ja,0.0
klei,7,2036,30,121,2036-03-27,2036-10-16,Nee,55.56
klei,0,2037,28,69,2037-05-22,2037-11-29,Nee,61.28
klei,1,2037,28,69,2037-05-22,2037-11-29,Nee,61.28
klei,2,2037,26,113,2037-04-14,2037-11-13,Nee,66.62
klei,3,2037,33,100,2037-03-29,2037-10-03,Nee,46.22
klei,4,2037,25,110,2037-04-06,2037-10-22,Nee,69.14
klei,5,2037,37,147,2037-03-25,2037-10-12,Nee,32.4
klei,6,2037,31,92,2037-04-08,2037-09-21,Nee,52.54
klei,7,2037,58,155,2037-04-02,2037-10-10,Ja,0.0
klei,0,2038,26,128,2038-05-01,2038-10-29,Nee,66.62
klei,1,2038,26,128,2038-05-01,2038-10-29,Nee,66.62
klei,2,2038,23,85,2038-03-20,2038-09-25,Nee,73.88
klei,3,2038,19,75,2038-03-22,2038-09-15,Nee,82.17
klei,4,2038,36,123,2038-03-13,2038-11-01,Nee,36.0
klei,5,2038,12,47,2038-04-01,2038-10-31,Nee,92.89
klei,6,2038,24,98,2038-04-10,2038-10-20,Nee,71.56
klei,7,2038,44,162,2038-03-17,2038-11-12,Nee,4.4
klei,0,2039,45,135,2039-03-22,2039-10-30,Nee,0.0
klei,1,2039,45,135,2039-03-22,2039-10-30,Nee,0.0
klei,2,2039,45,137,2039-03-28,2039-09-26,Nee,0.0
klei,3,2039,15,87,2039-04-04,2039-10-20,Nee,88.89
klei,4,2039,35,103,2039-04-23,2039-09-21,Nee,39.51
klei,5,2039,69,151,2039-04-19,2039-12-22,Ja,0.0
klei,6,2039,18,97,2039-04-27,2039-11-11,Nee,84.0
klei,7,2039,24,110,2039-04-07,2039-10-14,Nee,71.56
klei,0,2040,51,101,2040-04-12,2040-11-16,Ja,0.0
klei,1,2040,51,101,2040-04-12,2040-11-16,Ja,0.0
klei,2,2040,17,93,2040-04-06,2040-09-10,Nee,85.73
klei,3,2040,22,100,2040-04-01,2040-10-21,Nee,76.1
klei,4,2040,60,151,2040-04-21,2040-11-08,Ja,0.0
klei,5,2040,25,95,2040-04-15,2040-11-14,Nee,69.14
klei,6,2040,60,151,2040-04-21,2040-11-08,Ja,0.0
klei,7,2040,16,70,2040-04-18,2040-10-14,Nee,87.36
klei,0,2041,20,94,2041-04-17,2041-11-05,Nee,80.25
klei,1,2041,20,94,2041-04-17,2041-11-05,Nee,80.25
klei,2,2041,18,76,2041-04-01,2041-11-04,Nee,84.0
klei,3,2041,34,154,2041-03-29,2041-12-19,Nee,42.91
klei,4,2041,27,95,2041-03-24,2041-10-02,Nee,64.0
klei,5,2041,34,115,2041-03-30,2041-11-23,Nee,42.91
klei,6,2041,32,91,2041-04-07,2041-10-19,Nee,49.43
klei,7,2041,47,125,2041-03-28,2041-09-22,Ja,0.0
klei,0,2042,19,80,2042-04-14,2042-11-14,Nee,82.17
klei,1,2042,19,80,2042-04-14,2042-11-14,Nee,82.17
klei,2,2042,28,102,2042-04-08,2042-10-06,Nee,61.28
klei,3,2042,61,128,2042-03-19,2042-11-17,Ja,0.0
klei,4,2042,21,102,2042-04-17,2042-10-26,Nee,78.22
klei,5,2042,20,120,2042-04-02,2042-10-30,Nee,80.25
klei,6,2042,33,109,2042-04-04,2042-10-22,Nee,46.22
klei,7,2042,44,106,2042-03-25,2042-10-10,Nee,4.4
klei,0,2043,28,128,2043-04-06,2043-10-24,Nee,61.28
klei,1,2043,28,128,2043-04-06,2043-10-24,Nee,61.28
klei,2,2043,51,145,2043-03-22,2043-10-28,Ja,0.0
klei,3,2043,15,75,2043-05-04,2043-10-14,Nee,88.89
klei,4,2043,47,127,2043-03-27,2043-11-16,Ja,0.0
klei,5,2043,26,101,2043-04-07,2043-09-25,Nee,66.62
klei,6,2043,40,132,2043-04-02,2043-10-09,Nee,20.99
klei,7,2043,46,104,2043-04-14,2043-10-15,Ja,0.0
klei,0,2044,43,103,2044-04-18,2044-09-28,Nee,8.69
klei,1,2044,43,103,2044-04-18,2044-09-28,Nee,8.69
klei,2,2044,25,104,2044-04-01,2044-10-04,Nee,69.14
klei,3,2044,61,155,2044-04-17,2044-11-08,Ja,0.0
klei,4,2044,50,110,2044-04-08,2044-09-22,Ja,0.0
klei,5,2044,35,117,2044-04-03,2044-11-27,Nee,39.51
klei,6,2044,18,83,2044-03-31,2044-11-02,Nee,84.0
klei,7,2044,37,85,2044-03-29,2044-09-25,Nee,32.4
klei,0,2045,53,122,2045-03-10,2045-10-24,Ja,0.0
klei,1,2045,53,122,2045-03-10,2045-10-24,Ja,0.0
klei,2,2045,16,74,2045-04-14,2045-10-18,Nee,87.36
klei,3,2045,31,88,2045-04-20,2045-11-07,Nee,52.54
klei,4,2045,44,164,2045-03-14,2045-11-10,Nee,4.4
klei,5,2045,22,115,2045-03-09,2045-10-17,Nee,76.1
klei,6,2045,15,94,2045-04-09,2045-10-23,Nee,88.89
klei,7,2045,26,85,2045-04-02,2045-10-07,Nee,66.62
klei,0,2046,37,127,2046-04-02,2046-12-03,Nee,32.4
klei,1,2046,37,127,2046-04-02,2046-12-03,Nee,32.4
klei,2,2046,30,86,2046-05-05,2046-11-15,Nee,55.56
klei,3,2046,31,108,2046-04-05,2046-10-08,Nee,52.54
klei,4,2046,45,138,2046-04-02,2046-11-11,Nee,0.0
klei,5,2046,42,110,2046-04-30,2046-11-18,Nee,12.89
klei,6,2046,27,103,2046-04-09,2046-10-18,Nee,64.0
klei,7,2046,15,88,2046-04-12,2046-10-16,Nee,88.89
klei,0,2047,31,77,2047-04-18,2047-09-10,Nee,52.54
klei,1,2047,31,77,2047-04-18,2047-09-10,Nee,52.54
klei,2,2047,26,93,2047-04-12,2047-09-23,Nee,66.62
klei,3,2047,24,134,2047-04-03,2047-10-09,Nee,71.56
klei,4,2047,40,126,2047-04-08,2047-11-19,Nee,20.99
klei,5,2047,30,106,2047-04-04,2047-10-04,Nee,55.56
klei,6,2047,29,130,2047-04-04,2047-10-13,Nee,58.47
klei,7,2047,39,138,2047-03-26,2047-11-25,Nee,24.89
klei,0,2048,25,86,2048-04-07,2048-10-06,Nee,69.14
klei,1,2048,25,86,2048-04-07,2048-10-06,Nee,69.14
klei,2,2048,25,131,2048-03-16,2048-10-08,Nee,69.14
klei,3,2048,17,83,2048-04-04,2048-10-13,Nee,85.73
klei,4,2048,27,90,2048-04-11,2048-09-24,Nee,64.0
klei,5,2048,18,93,2048-04-05,2048-11-08,Nee,84.0
klei,6,2048,16,86,2048-04-06,2048-09-25,Nee,87.36
klei,7,2048,29,74,2048-03-16,2048-08-29,Nee,58.47
klei,0,2049,42,121,2049-04-12,2049-10-26,Nee,12.89
klei,1,2049,42,121,2049-04-12,2049-10-26,Nee,12.89
