Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
zand,0,2036,28,87,2036-04-12,2036-09-09,Nee,61.28
zand,1,2036,28,87,2036-04-12,2036-09-09,Nee,61.28
zand,2,2036,49,129,2036-04-13,2036-09-19,Ja,0.0
zand,3,2036,31,98,2036-05-01,2036-10-19,Nee,52.54
zand,4,2036,22,62,2036-04-27,2036-08-11,Nee,76.1
zand,5,2036,17,54,2036-04-12,2036-08-06,Nee,85.73
zand,6,2036,35,116,2036-03-31,2036-09-07,Nee,39.51
zand,7,2036,30,102,2036-05-13,2036-10-14,Nee,55.56
zand,0,2037,29,49,2037-05-22,2037-08-16,Nee,58.47
zand,1,2037,29,49,2037-05-22,2037-08-16,Nee,58.47
zand,2,2037,26,82,2037-04-24,2037-10-11,Nee,66.62
zand,3,2037,20,87,2037-04-10,2037-08-29,Nee,80.25
zand,4,2037,23,100,2037-05-01,2037-10-22,Nee,73.88
zand,5,2037,36,135,2037-03-31,2037-10-12,Nee,36.0
zand,6,2037,15,86,2037-04-12,2037-09-21,Nee,88.89
zand,7,2037,56,141,2037-04-18,2037-10-10,Ja,0.0
zand,0,2038,26,108,2038-05-04,2038-09-23,Nee,66.62
zand,1,2038,26,108,2038-05-04,2038-09-23,Nee,66.62
zand,2,2038,23,72,2038-04-16,2038-09-25,Nee,73.88
zand,3,2038,13,70,2038-04-22,2038-09-15,Nee,91.65
zand,4,2038,26,92,2038-04-03,2038-09-30,Nee,66.62
zand,5,2038,12,23,2038-04-26,2038-08-11,Nee,92.89
zand,6,2038,18,80,2038-04-16,2038-10-05,Nee,84.0
zand,7,2038,27,142,2038-03-26,2038-09-24,Nee,64.0
zand,0,2039,43,111,2039-04-24,2039-09-20,Nee,8.69
zand,1,2039,43,111,2039-04-24,2039-09-20,Nee,8.69
zand,2,2039,34,125,2039-04-17,2039-09-26,Nee,42.91
zand,3,2039,15,80,2039-04-18,2039-10-03,Nee,88.89
zand,4,2039,31,105,2039-04-28,2039-09-21,Nee,52.54
zand,5,2039,68,117,2039-05-01,2039-09-23,Ja,0.0
zand,6,2039,18,89,2039-05-05,2039-09-27,Nee,84.0
zand,7,2039,21,98,2039-04-21,2039-10-13,Nee,78.22
zand,0,2040,30,95,2040-04-15,2040-08-26,Nee,55.56
zand,1,2040,30,95,2040-04-15,2040-08-26,Nee,55.56
zand,2,2040,15,83,2040-04-15,2040-09-10,Nee,88.89
zand,3,2040,17,88,2040-04-19,2040-09-07,Nee,85.73
zand,4,2040,60,136,2040-04-22,2040-09-29,Ja,0.0
zand,5,2040,18,81,2040-04-22,2040-09-28,Nee,84.0
zand,6,2040,60,136,2040-04-22,2040-09-29,Ja,0.0
zand,7,2040,15,56,2040-04-20,2040-10-14,Nee,88.89
zand,0,2041,20,81,2041-04-22,2041-09-18,Nee,80.25
zand,1,2041,20,81,2041-04-22,2041-09-18,Nee,80.25
zand,2,2041,18,54,2041-04-28,2041-08-28,Nee,84.0
zand,3,2041,30,92,2041-04-26,2041-09-26,Nee,55.56
zand,4,2041,27,79,2041-05-13,2041-09-24,Nee,64.0
zand,5,2041,33,102,2041-04-04,2041-09-29,Nee,46.22
zand,6,2041,23,91,2041-04-10,2041-10-19,Nee,73.88
zand,7,2041,47,111,2041-04-13,2041-09-22,Ja,0.0
zand,0,2042,12,58,2042-04-17,2042-10-28,Nee,92.89
zand,1,2042,12,58,2042-04-17,2042-10-28,Nee,92.89
zand,2,2042,29,96,2042-04-15,2042-09-23,Nee,58.47
zand,3,2042,24,98,2042-04-12,2042-08-19,Nee,71.56
zand,4,2042,21,83,2042-04-19,2042-10-14,Nee,78.22
zand,5,2042,20,105,2042-04-18,2042-10-28,Nee,80.25
zand,6,2042,36,97,2042-05-06,2042-10-21,Nee,36.0
zand,7,2042,43,93,2042-04-23,2042-10-10,Nee,8.69
zand,0,2043,21,104,2043-04-11,2043-09-28,Nee,78.22
zand,1,2043,21,104,2043-04-11,2043-09-28,Nee,78.22
zand,2,2043,52,114,2043-04-15,2043-10-11,Ja,0.0
zand,3,2043,11,67,2043-05-04,2043-10-13,Nee,94.02
zand,4,2043,47,99,2043-04-13,2043-08-26,Ja,0.0
zand,5,2043,19,92,2043-04-12,2043-09-12,Nee,82.17
zand,6,2043,40,113,2043-04-08,2043-10-05,Nee,20.99
zand,7,2043,33,94,2043-04-26,2043-09-22,Nee,46.22
zand,0,2044,43,108,2044-04-19,2044-09-28,Nee,8.69
zand,1,2044,43,108,2044-04-19,2044-09-28,Nee,8.69
zand,2,2044,25,94,2044-05-01,2044-09-17,Nee,69.14
zand,3,2044,46,130,2044-04-18,2044-09-19,Ja,0.0
zand,4,2044,49,107,2044-04-11,2044-09-20,Ja,0.0
zand,5,2044,19,72,2044-04-06,2044-10-07,Nee,82.17
zand,6,2044,18,70,2044-04-12,2044-09-05,Nee,84.0
zand,7,2044,37,81,2044-04-26,2044-09-05,Nee,32.4
zand,0,2045,48,105,2045-04-26,2045-10-20,Ja,0.0
zand,1,2045,48,105,2045-04-26,2045-10-20,Ja,0.0
zand,2,2045,17,65,2045-04-26,2045-09-20,Nee,85.73
zand,3,2045,16,74,2045-04-21,2045-11-03,Nee,87.36
zand,4,2045,37,134,2045-04-08,2045-10-09,Nee,32.4
zand,5,2045,18,91,2045-04-16,2045-10-05,Nee,84.0
zand,6,2045,15,75,2045-05-18,2045-10-23,Nee,88.89
zand,7,2045,26,75,2045-04-07,2045-10-07,Nee,66.62
zand,0,2046,14,87,2046-04-26,2046-10-03,Nee,90.32
zand,1,2046,14,87,2046-04-26,2046-10-03,Nee,90.32
zand,2,2046,27,70,2046-05-07,2046-10-08,Nee,64.0
zand,3,2046,31,100,2046-04-19,2046-10-08,Nee,52.54
zand,4,2046,47,104,2046-04-11,2046-08-28,Ja,0.0
zand,5,2046,38,99,2046-05-17,2046-10-06,Nee,28.69
zand,6,2046,24,93,2046-04-17,2046-10-17,Nee,71.56
zand,7,2046,15,79,2046-04-14,2046-09-23,Nee,88.89
zand,0,2047,32,77,2047-04-20,2047-09-10,Nee,49.43
zand,1,2047,32,77,2047-04-20,2047-09-10,Nee,49.43
zand,2,2047,27,88,2047-05-02,2047-09-23,Nee,64.0
zand,3,2047,24,123,2047-04-05,2047-10-09,Nee,71.56
zand,4,2047,30,86,2047-04-12,2047-09-28,Nee,55.56
zand,5,2047,26,96,2047-04-26,2047-10-04,Nee,66.62
zand,6,2047,20,116,2047-04-11,2047-09-20,Nee,80.25
zand,7,2047,37,88,2047-04-15,2047-10-19,Nee,32.4
zand,0,2048,25,81,2048-04-12,2048-10-05,Nee,69.14
zand,1,2048,25,81,2048-04-12,2048-10-05,Nee,69.14
zand,2,2048,25,107,2048-04-29,2048-09-05,Nee,69.14
zand,3,2048,13,64,2048-04-12,2048-10-13,Nee,91.65
zand,4,2048,21,86,2048-04-25,2048-09-23,Nee,78.22
zand,5,2048,18,65,2048-05-02,2048-10-03,Nee,84.0
zand,6,2048,12,79,2048-04-16,2048-09-25,Nee,92.89
zand,7,2048,28,53,2048-04-09,2048-07-27,Nee,61.28
zand,0,2049,44,111,2049-04-19,2049-09-18,Nee,4.4
zand,1,2049,44,111,2049-04-19,2049-09-18,Nee,4.4
zand,2,2049,26,85,2049-04-08,2049-08-31,Nee,66.62
zand,3,2049,24,110,2049-04-24,2049-10-17,Nee,71.56
zand,4,2049,30,127,2049-04-15,2049-10-21,Nee,55.56
zand,5,2049,24,110,2049-04-24,2049-10-17,Nee,71.56
zand,6,2049,42,118,2049-04-04,2049-09-23,Nee,12.89
zand,7,2049,31,63,2049-04-26,2049-09-15,Nee,52.54
zand,0,2050,34,117,2050-04-09,2050-10-04,Nee,42.91
zand,1,2050,34,117,2050-04-09,2050-10-04,Nee,42.91
zand,2,2050,12,52,2050-03-31,2050-10-17,Nee,92.89
zand,3,2050,17,90,2050-05-08,2050-10-09,Nee,85.73
zand,4,2050,17,69,2050-04-21,2050-11-02,Nee,85.73
zand,5,2050,28,113,2050-04-05,2050-09-16,Nee,61.28
zand,6,2050,17,69,2050-04-21,2050-11-02,Nee,85.73
zand,7,2050,16,63,2050-04-24,2050-08-25,Nee,87.36
zand,0,2051,21,99,2051-04-28,2051-09-24,Nee,78.22
zand,1,2051,21,99,2051-04-28,2051-09-24,Nee,78.22
zand,2,2051,72,115,2051-04-21,2051-10-17,Ja,0.0
zand,3,2051,38,125,2051-04-13,2051-11-07,Nee,28.69
zand,4,2051,38,104,2051-04-18,2051-10-03,Nee,28.69
zand,5,2051,28,91,2051-04-19,2051-09-24,Nee,61.28
zand,6,2051,38,104,2051-04-18,2051-10-03,Nee,28.69
zand,7,2051,28,126,2051-04-08,2051-09-24,Nee,61.28
zand,0,2052,20,76,2052-04-14,2052-10-03,Nee,80.25
zand,1,2052,20,76,2052-04-14,2052-10-03,Nee,80.25
zand,2,2052,44,90,2052-05-09,2052-09-20,Nee,4.4
zand,3,2052,12,65,2052-05-07,2052-09-30,Nee,92.89
zand,4,2052,14,68,2052-05-03,2052-08-06,Nee,90.32
zand,5,2052,39,120,2052-04-27,2052-10-19,Nee,24.89
zand,6,2052,14,68,2052-05-03,2052-08-06,Nee,90.32
zand,7,2052,27,84,2052-05-05,2052-10-12,Nee,64.0
zand,0,2053,24,94,2053-04-06,2053-09-16,Nee,71.56
zand,1,2053,24,94,2053-04-06,2053-09-16,Nee,71.56
zand,2,2053,34,105,2053-05-13,2053-09-19,Nee,42.91
zand,3,2053,10,46,2053-04-20,2053-09-29,Nee,95.06
zand,4,2053,55,120,2053-05-04,2053-10-16,Ja,0.0
zand,5,2053,64,123,2053-04-18,2053-10-06,Ja,0.0
zand,6,2053,55,120,2053-05-04,2053-10-16,Ja,0.0
zand,7,2053,52,110,2053-04-25,2053-10-10,Ja,0.0
zand,0,2054,41,113,2054-04-20,2054-10-06,Nee,16.99
zand,1,2054,41,113,2054-04-20,2054-10-06,Nee,16.99
zand,2,2054,24,109,2054-04-24,2054-10-11,Nee,71.56
zand,3,2054,26,100,2054-04-11,2054-10-14,Nee,66.62
zand,4,2054,24,109,2054-04-24,2054-10-11,Nee,71.56
zand,5,2054,36,121,2054-04-22,2054-10-05,Nee,36.0
zand,6,2054,25,82,2054-04-23,2054-09-17,Nee,69.14
zand,7,2054,17,95,2054-04-15,2054-09-20,Nee,85.73
zand,0,2055,54,98,2055-04-08,2055-09-10,Ja,0.0
zand,1,2055,54,98,2055-04-08,2055-09-10,Ja,0.0
zand,2,2055,28,84,2055-04-24,2055-10-13,Nee,61.28
zand,3,2055,28,121,2055-04-10,2055-10-01,Nee,61.28
zand,4,2055,35,122,2055-04-10,2055-11-15,Nee,39.51
zand,5,2055,25,82,2055-04-26,2055-09-14,Nee,69.14
zand,6,2055,27,90,2055-04-17,2055-09-25,Nee,64.0
zand,7,2055,21,83,2055-04-21,2055-09-30,Nee,78.22
zand,0,2056,25,96,2056-05-05,2056-10-10,Nee,69.14
zand,1,2056,25,96,2056-05-05,2056-10-10,Nee,69.14
zand,2,2056,37,109,2056-04-29,2056-09-27,Nee,32.4
zand,3,2056,35,139,2056-04-05,2056-10-30,Nee,39.51
zand,4,2056,42,106,2056-04-06,2056-09-28,Nee,12.89
zand,5,2056,24,95,2056-04-14,2056-09-14,Nee,71.56
zand,6,2056,28,87,2056-04-08,2056-09-07,Nee,61.28
zand,7,2056,30,90,2056-04-18,2056-09-16,Nee,55.56
zand,0,2057,22,52,2057-05-13,2057-09-16,Nee,76.1
zand,1,2057,22,52,2057-05-13,2057-09-16,Nee,76.1
zand,2,2057,32,103,2057-04-21,2057-10-01,Nee,49.43
zand,3,2057,26,89,2057-04-29,2057-09-14,Nee,66.62
zand,4,2057,20,80,2057-04-26,2057-10-04,Nee,80.25
zand,5,2057,21,93,2057-04-19,2057-09-23,Nee,78.22
zand,6,2057,12,69,2057-04-29,2057-10-14,Nee,92.89
zand,7,2057,40,107,2057-04-26,2057-10-11,Nee,20.99
zand,0,2058,21,100,2058-04-13,2058-10-10,Nee,78.22
zand,1,2058,21,100,2058-04-13,2058-10-10,Nee,78.22
zand,2,2058,21,84,2058-04-18,2058-09-20,Nee,78.22
zand,3,2058,44,110,2058-04-19,2058-10-19,Nee,4.4
zand,4,2058,23,89,2058-04-30,2058-09-17,Nee,73.88
zand,5,2058,22,101,2058-04-15,2058-09-09,Nee,76.1
zand,6,2058,14,59,2058-05-11,2058-09-26,Nee,90.32
zand,7,2058,39,85,2058-04-19,2058-09-13,Nee,24.89
zand,0,2059,11,75,2059-04-22,2059-10-24,Nee,94.02
zand,1,2059,11,75,2059-04-22,2059-10-24,Nee,94.02
zand,2,2059,34,125,2059-03-31,2059-09-23,Nee,42.91
zand,3,2059,61,147,2059-04-15,2059-10-22,Ja,0.0
zand,4,2059,30,98,2059-04-12,2059-10-12,Nee,55.56
zand,5,2059,19,69,2059-04-05,2059-09-25,Nee,82.17
zand,6,2059,21,83,2059-04-14,2059-09-25,Nee,78.22
zand,7,2059,12,62,2059-04-11,2059-09-22,Nee,92.89
zand,0,2060,45,120,2060-04-08,2060-09-07,Nee,0.0
zand,1,2060,45,120,2060-04-08,2060-09-07,Nee,0.0
zand,2,2060,26,95,2060-04-15,2060-08-24,Nee,66.62
zand,3,2060,34,108,2060-04-23,2060-10-03,Nee,42.91
zand,4,2060,22,101,2060-04-23,2060-09-24,Nee,76.1
zand,5,2060,41,120,2060-04-15,2060-11-01,Nee,16.99
zand,6,2060,21,77,2060-03-31,2060-10-01,Nee,78.22
zand,7,2060,31,79,2060-05-08,2060-08-25,Nee,52.54
zand,0,2061,16,87,2061-04-20,2061-09-23,Nee,87.36
zand,1,2061,16,87,2061-04-20,2061-09-23,Nee,87.36
zand,2,2061,17,76,2061-03-31,2061-09-23,Nee,85.73
zand,3,2061,28,72,2061-04-20,2061-09-13,Nee,61.28
zand,4,2061,20,105,2061-04-15,2061-10-02,Nee,80.25
zand,5,2061,16,103,2061-04-22,2061-10-15,Nee,87.36
zand,6,2061,20,102,2061-04-09,2061-09-09,Nee,80.25
zand,7,2061,42,133,2061-04-12,2061-10-23,Nee,12.89
zand,0,2062,18,75,2062-04-16,2062-09-15,Nee,84.0
zand,1,2062,18,75,2062-04-16,2062-09-15,Nee,84.0
zand,2,2062,63,146,2062-04-03,2062-11-05,Ja,0.0
zand,3,2062,44,75,2062-04-16,2062-09-30,Nee,4.4
zand,4,2062,15,84,2062-04-23,2062-09-18,Nee,88.89
zand,5,2062,32,107,2062-04-19,2062-09-12,Nee,49.43
zand,6,2062,27,94,2062-04-22,2062-09-28,Nee,64.0
zand,7,2062,37,55,2062-04-09,2062-09-15,Nee,32.4
zand,0,2063,10,57,2063-04-19,2063-09-25,Nee,95.06
zand,1,2063,10,57,2063-04-19,2063-09-25,Nee,95.06
zand,2,2063,38,107,2063-04-21,2063-09-28,Nee,28.69
zand,3,2063,19,82,2063-04-25,2063-09-18,Nee,82.17
zand,4,2063,56,139,2063-04-21,2063-10-21,Ja,0.0
zand,5,2063,24,99,2063-04-27,2063-09-29,Nee,71.56
zand,6,2063,15,94,2063-04-12,2063-09-25,Nee,88.89
zand,7,2063,63,124,2063-04-04,2063-08-27,Ja,0.0
zand,0,2064,19,77,2064-04-30,2064-09-16,Nee,82.17
zand,1,2064,19,77,2064-04-30,2064-09-16,Nee,82.17
zand,2,2064,56,110,2064-03-27,2064-09-24,Ja,0.0
zand,3,2064,42,88,2064-04-10,2064-09-05,Nee,12.89
zand,4,2064,70,92,2064-05-13,2064-09-18,Ja,0.0
zand,5,2064,31,91,2064-03-31,2064-10-20,Nee,52.54
zand,6,2064,57,126,2064-04-19,2064-10-08,Ja,0.0
zand,7,2064,33,91,2064-04-15,2064-08-29,Nee,46.22
zand,0,2065,34,98,2065-04-16,2065-10-08,Nee,42.91
zand,1,2065,34,98,2065-04-16,2065-10-08,Nee,42.91
zand,2,2065,18,118,2065-04-05,2065-09-13,Nee,84.0
zand,3,2065,14,70,2065-05-11,2065-10-01,Nee,90.32
zand,4,2065,32,125,2065-04-12,2065-09-16,Nee,49.43
zand,5,2065,20,90,2065-04-13,2065-10-06,Nee,80.25
zand,6,2065,25,73,2065-04-24,2065-09-21,Nee,69.14
zand,7,2065,34,86,2065-04-22,2065-10-12,Nee,42.91
