Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
zand,0,2036,28,99,2036-04-08,2036-09-24,Nee,61.28
zand,1,2036,28,99,2036-04-08,2036-09-24,Nee,61.28
zand,2,2036,51,165,2036-03-07,2036-11-13,Ja,0.0
zand,3,2036,32,118,2036-03-15,2036-10-19,Nee,49.43
zand,4,2036,22,92,2036-03-30,2036-11-16,Nee,76.1
zand,5,2036,19,74,2036-04-06,2036-10-20,Nee,82.17
zand,6,2036,57,146,2036-03-11,2036-11-15,Ja,0.0
zand,7,2036,31,127,2036-03-25,2036-10-16,Nee,52.54
zand,0,2037,29,79,2037-05-01,2037-11-29,Nee,58.47
zand,1,2037,29,79,2037-05-01,2037-11-29,Nee,58.47
zand,2,2037,26,122,2037-04-13,2037-11-13,Nee,66.62
zand,3,2037,33,103,2037-03-15,2037-10-03,Nee,46.22
zand,4,2037,25,113,2037-04-05,2037-10-22,Nee,69.14
zand,5,2037,37,151,2037-03-19,2037-10-12,Nee,32.4
zand,6,2037,25,97,2037-04-07,2037-10-05,Nee,69.14
zand,7,2037,58,155,2037-04-02,2037-10-10,Ja,0.0
zand,0,2038,26,131,2038-05-01,2038-10-29,Nee,66.62
zand,1,2038,26,131,2038-05-01,2038-10-29,Nee,66.62
zand,2,2038,23,91,2038-03-19,2038-09-25,Nee,73.88
zand,3,2038,15,84,2038-03-21,2038-09-15,Nee,88.89
zand,4,2038,26,132,2038-03-06,2038-11-06,Nee,66.62
zand,5,2038,12,57,2038-03-30,2038-10-31,Nee,92.89
zand,6,2038,25,107,2038-04-09,2038-10-20,Nee,69.14
zand,7,2038,29,166,2038-03-16,2038-11-14,Nee,58.47
zand,0,2039,43,140,2039-03-21,2039-10-30,Nee,8.69
zand,1,2039,43,140,2039-03-21,2039-10-30,Nee,8.69
zand,2,2039,34,138,2039-03-29,2039-09-26,Nee,42.91
zand,3,2039,15,97,2039-04-02,2039-10-20,Nee,88.89
zand,4,2039,31,108,2039-04-22,2039-10-14,Nee,52.54
zand,5,2039,69,161,2039-04-07,2039-12-22,Ja,0.0
zand,6,2039,18,107,2039-04-26,2039-11-13,Nee,84.0
zand,7,2039,24,117,2039-04-07,2039-10-14,Nee,71.56
zand,0,2040,32,107,2040-04-11,2040-11-16,Nee,49.43
zand,1,2040,32,107,2040-04-11,2040-11-16,Nee,49.43
zand,2,2040,17,99,2040-03-12,2040-09-10,Nee,85.73
zand,3,2040,18,111,2040-03-13,2040-10-21,Nee,84.0
zand,4,2040,62,158,2040-04-20,2040-11-09,Ja,0.0
zand,5,2040,26,106,2040-04-12,2040-11-15,Nee,66.62
zand,6,2040,62,158,2040-04-20,2040-11-09,Ja,0.0
zand,7,2040,16,74,2040-04-17,2040-10-14,Nee,87.36
zand,0,2041,22,106,2041-04-16,2041-11-05,Nee,76.1
zand,1,2041,22,106,2041-04-16,2041-11-05,Nee,76.1
zand,2,2041,18,86,2041-03-31,2041-11-04,Nee,84.0
zand,3,2041,34,166,2041-03-28,2041-12-19,Nee,42.91
zand,4,2041,27,101,2041-03-22,2041-10-02,Nee,64.0
zand,5,2041,34,128,2041-03-30,2041-11-23,Nee,42.91
zand,6,2041,33,101,2041-04-07,2041-11-11,Nee,46.22
